Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
08-JUN-2020,8444.55,8445.65,8287.9,8323.95,4757123169.0,64944.4
09-JUN-2020,8350.3,8422.15,8213.6,8238.1,4062026406.0,61637.89
10-JUN-2020,8260.15,8314.6,8224.7,8293.35,3271455440.0,50858.55
11-JUN-2020,8284.1,8306.45,8125.0,8137.0,4593850025.0,55299.94
12-JUN-2020,7839.8,8212.8,7839.15,8196.4,3756577636.0,58540.58
15-JUN-2020,8171.75,8196.4,8030.4,8086.45,2907938830.0,51689.36
16-JUN-2020,8239.4,8260.2,8015.15,8152.3,3098568883.0,57112.86
17-JUN-2020,8126.3,8223.95,8098.0,8140.45,2294565569.0,49767.21
18-JUN-2020,8130.9,8297.0,8117.95,8283.65,3027587687.0,48535.15
19-JUN-2020,8314.95,8420.85,8282.5,8403.4,3211337834.0,78910.46
22-JUN-2020,8471.9,8538.75,8447.95,8486.45,3839180399.0,66086.36
23-JUN-2020,8527.5,8629.9,8488.35,8621.1,2834696037.0,61306.64
24-JUN-2020,8678.7,8699.55,8476.85,8496.25,3725013436.0,71165.17
25-JUN-2020,8440.75,8543.55,8410.15,8499.9,3294912797.0,65995.57
26-JUN-2020,8572.45,8595.45,8515.65,8559.0,3182178991.0,53698.83
29-JUN-2020,8514.6,8521.4,8426.95,8488.05,2842439723.0,46967.37
30-JUN-2020,8544.7,8560.3,8448.55,8474.8,2658379272.0,47291.97
01-JUL-2020,8493.75,8567.35,8466.7,8554.75,2168775132.0,47307.72
02-JUL-2020,8602.45,8677.95,8598.8,8647.85,2239635423.0,50974.35
03-JUL-2020,8700.85,8712.9,8660.65,8696.25,2107628036.0,46175.24
06-JUL-2020,8782.0,8843.1,8761.95,8815.7,2347395075.0,51466.45
07-JUL-2020,8847.25,8861.45,8762.2,8850.3,2505957552.0,62404.46
08-JUL-2020,8872.05,8894.05,8763.55,8785.0,3096997669.0,63277.83
09-JUL-2020,8823.75,8867.3,8808.0,8851.5,2300310833.0,49941.26
10-JUL-2020,8818.7,8865.35,8772.45,8813.95,2816580137.0,50748.11
13-JUL-2020,8879.55,8901.3,8796.55,8834.2,2073963572.0,49011.89
14-JUL-2020,8799.55,8802.7,8655.4,8693.35,1953674967.0,50027.62
15-JUL-2020,8764.05,8846.9,8661.45,8689.85,2327779172.0,60618.32
16-JUL-2020,8750.6,8776.05,8650.6,8766.6,2664281047.0,59011.86
17-JUL-2020,8783.05,8915.25,8781.45,8895.3,2616331036.0,55956.65
20-JUL-2020,8965.25,8994.95,8938.1,8985.1,2673796393.0,53406.44
21-JUL-2020,9066.15,9089.2,9049.45,9070.6,2512400599.0,63383.59
22-JUL-2020,9119.15,9123.05,8988.55,9046.6,2483774626.0,62817.56
23-JUL-2020,9054.85,9129.3,9034.6,9114.05,1727173615.0,50752.02
24-JUL-2020,9066.65,9108.2,9011.5,9085.95,2024581094.0,59249.66
27-JUL-2020,9112.45,9112.45,8995.1,9024.9,1664767288.0,52995.36
28-JUL-2020,9045.45,9153.0,9043.9,9141.75,1802104773.0,56260.39
